WKT;BARRI
MULTIPOLYGON (((2.10341813048874 41.4011020729757,2.10539585105788 41.4005993127797,2.10707172566458 41.399801192964,2.1073531247858 41.3993682227825,2.10773816022471 41.3992332581058,2.10865123294724 41.3984502555223,2.10900297427724 41.3974672342029,2.10962869442861 41.3967274640995,2.10983712871599 41.3961604392632,2.11027005317376 41.3958372279637,2.11107759002347 41.3958929009232,2.11312565319569 41.3972588105757,2.11561143726837 41.3958746951104,2.11763002556165 41.3952413301045,2.1182941859898 41.3945883311922,2.11847726415066 41.3937603824583,2.11818402202662 41.3928772213453,2.11756063960292 41.392224209302,2.11800651725207 41.3919238955443,2.12001305483902 41.3912756953744,2.12055184037422 41.3908041472111,2.12089864840357 41.3900907199279,2.1222698312337 41.3906218299576,2.12958579401447 41.3925208901731,2.12959581196914 41.3923385804861,2.12898543443574 41.3918017908552,2.12825717683761 41.3905954985717,2.12760685919391 41.3888991749149,2.12690078419442 41.3886444468456,2.1270384101162 41.3882447205581,2.10170949868961 41.3818270142863,2.10118332118481 41.383175572866,2.10263552081553 41.3835701664555,2.10343663148458 41.3843674315907,2.10261165585323 41.3857503433712,2.10111618387299 41.3870813738114,2.10229254795209 41.3875180198286,2.10059164103171 41.3884097994817,2.10025865390346 41.3890986901116,2.10025055144269 41.3896867615525,2.09985759439607 41.3907895910102,2.09979779669731 41.3920044587204,2.09912947142629 41.392811302848,2.09805307121522 41.3934286385926,2.09779180661518 41.3939571055346,2.09850885424124 41.3949826596666,2.09902089747653 41.3954123808762,2.09938708313895 41.39627164974,2.09992513044921 41.396812494759,2.10044456590185 41.3980029431192,2.100495581594 41.3985514502751,2.10168103634867 41.3991504572407,2.10283266760813 41.4005202727517,2.10292578301563 41.401096576995,2.10341813048874 41.4011020729757)));21
MULTIPOLYGON (((2.0731261456639 41.4352180316711,2.074772283462 41.4353017920263,2.07514418125309 41.4345027367383,2.07484510723475 41.4334441410856,2.07533413757769 41.4329446576579,2.07675799564981 41.4328453293786,2.07807435102627 41.4320562260163,2.07998878824543 41.4318835315014,2.08026185808466 41.4315483566799,2.08016622365306 41.4308628501093,2.08076956114522 41.4306388284126,2.08123892717412 41.4307238824533,2.08111314922908 41.4312401647889,2.0815826526025 41.4317503919655,2.08265073614773 41.431989620909,2.08278187404338 41.4317464124601,2.08244991895584 41.4311655846686,2.08263514204654 41.4307715272438,2.08389600314321 41.4308920191986,2.084129634696 41.4307510398085,2.08371157052085 41.4302408876467,2.08389048426969 41.4299729961204,2.0853689005196 41.4293157281902,2.08572690511083 41.4290035240739,2.08728668286065 41.428780041189,2.0881975516924 41.4281991965881,2.0887078774678 41.4284945402494,2.08920567505445 41.4292445491761,2.08995021889014 41.4289987073455,2.09042597319914 41.4286437816784,2.09083455429001 41.4288127191324,2.09104981598276 41.4291512166592,2.09218951577658 41.4295673423026,2.09249749986937 41.4301539035325,2.09363393109812 41.4313128580519,2.09442175284298 41.4325216968925,2.09471315632419 41.4327606927405,2.09544027339785 41.4328526863,2.09607107461495 41.4332733476975,2.09677956937173 41.4326235462802,2.09882897669211 41.4317139134298,2.09892440413443 41.4315671103567,2.09871169121304 41.4309147569296,2.09916217585696 41.4301435704402,2.0996922133082 41.4301540591223,2.10113956647564 41.4297976461058,2.1020933922823 41.4286528909423,2.10322044431564 41.4280740294013,2.10364529861856 41.4281144249169,2.10529116916492 41.4287886343457,2.10575406675059 41.4288033702486,2.10589892767355 41.4285699409698,2.10634100220544 41.4285033125087,2.10662409553612 41.428636104545,2.10919979772119 41.4287228920228,2.10959063309461 41.4283999154099,2.11030001011654 41.4284870992538,2.11108908698674 41.4282835114336,2.11186414640445 41.4283503319215,2.11233694841855 41.428613006768,2.11293951865459 41.4283602087251,2.11332361111332 41.4285035703244,2.11530119118286 41.4277359089507,2.11562836800674 41.4267824728794,2.11940815463459 41.4256871688286,2.12082577690783 41.4259442519077,2.12126912644022 41.425833966207,2.12131121555765 41.4253865766246,2.12046790524688 41.4239400412526,2.12054508997605 41.4231137483111,2.12042650660141 41.4227219188109,2.12151210685557 41.4211244387139,2.12150538355687 41.4208685759576,2.12116287371986 41.4207100736097,2.13133134815445 41.4164494574054,2.13124738391405 41.4163302916158,2.1289255336696 41.4173166468035,2.12833435620951 41.416608256664,2.12667661023767 41.4167261226578,2.1262724992306 41.4159693548641,2.1255756690526 41.4156627794532,2.12512741810636 41.4149488276684,2.12552425963616 41.4140065212414,2.12407115881353 41.4136083358416,2.12325621693239 41.4139060940471,2.12341132362851 41.4149091030952,2.12321069007134 41.4153340231414,2.12243301873036 41.4150815959227,2.12221050185484 41.4160577474857,2.12176721377327 41.4162943229911,2.12174274897254 41.4167762330376,2.12156364957704 41.4169293975143,2.12087037957619 41.4159515315425,2.1200707591495 41.4160683342694,2.12002815429454 41.415625580393,2.12026873702053 41.4149551580554,2.11941541084453 41.4149561601244,2.11882939591476 41.4147788292823,2.11962423910066 41.4130789654441,2.11950434880105 41.4124409325719,2.11886792444097 41.412653446141,2.1186811545318 41.4135098676365,2.11807484781849 41.4136408467923,2.1170561728464 41.4134655219256,2.11603755941765 41.414143887963,2.11524818306183 41.4131752657305,2.11453421353813 41.4129640787692,2.11429236862365 41.412224506636,2.11407441212821 41.4121470758105,2.11360760200572 41.4122724670451,2.11294602067345 41.4127673538724,2.11233264310667 41.4123592151631,2.1118896759384 41.41244673588,2.11139228500535 41.4128436729503,2.11104688971668 41.4135990179213,2.11041960302091 41.4131451118348,2.11003124712446 41.4122299685925,2.10957930230224 41.4123167354036,2.10904574915198 41.4128539527395,2.10831677031684 41.4126133728022,2.10820529738318 41.4124572022845,2.10825287556378 41.4115128692921,2.10812758462101 41.4114319659542,2.10724270125693 41.4114516209036,2.10639939945725 41.4117966350002,2.10578876172421 41.4111278069926,2.10679651708886 41.4103432312792,2.10695260691607 41.4099519881018,2.10656036237067 41.4095988769721,2.10564139257562 41.4098444592186,2.1052929453439 41.4096361548288,2.10416664710897 41.409758070768,2.10392394500979 41.4093897754381,2.10342480146805 41.4091405236809,2.10353120424967 41.4084649828276,2.10319810065916 41.4079980523879,2.10331797622588 41.4075495505504,2.10439056604966 41.4071541185336,2.10427892038868 41.4063124029259,2.10471096948236 41.4060154857762,2.10557518177693 41.4064711447034,2.10617149432039 41.4064338626668,2.10682209864051 41.4069601194094,2.1076015821865 41.4065310157528,2.10870966924674 41.4070400624629,2.10897864392779 41.4069342904844,2.10907474837206 41.4066590929144,2.10884180636921 41.4059417432252,2.10792699098943 41.4053719755715,2.10762508347211 41.4048063255222,2.10727473757894 41.404533689969,2.10744563374126 41.4040208697175,2.10730815313222 41.4035048282433,2.10681284932129 41.4032544318166,2.10589860430555 41.4032230646638,2.10575213747918 41.4025519689715,2.10513180225457 41.4021554290894,2.10527715059038 41.4018749499835,2.1050705422545 41.4014488184126,2.10440782836962 41.4008263420587,2.10292578301563 41.401096576995,2.10317564982864 41.4016514330505,2.10315293387135 41.4020503831946,2.10382549993474 41.4032886883903,2.10378669649935 41.4040228206391,2.10359040691186 41.4044031115949,2.10320130267484 41.4046417144813,2.10181178374191 41.4051193942322,2.10160184571546 41.4069956972536,2.10060719686676 41.4083681714334,2.09780554904143 41.4091165339377,2.09726714675423 41.409083107657,2.09665509734476 41.4082406085393,2.09565249870772 41.4078497855742,2.09250505837438 41.4082846558179,2.09172533166517 41.4081931933392,2.09032391249003 41.4083147597283,2.08759196263703 41.408929899602,2.08689353552862 41.4094595607231,2.0860014688343 41.4097121135395,2.0848895903074 41.4095811115652,2.08413339274521 41.4093548387618,2.08413527376987 41.4089383474107,2.08363788825102 41.4085425681932,2.08354258660237 41.4082791247838,2.08279151654472 41.4077625134626,2.08245168596673 41.4070806940931,2.08097530938681 41.4063903618834,2.08042224960508 41.4059634661775,2.08011968054377 41.4045474300086,2.07859255179082 41.4031206664645,2.07777482401385 41.402867318583,2.07640670313586 41.4031932591585,2.07560715587041 41.4031779116642,2.07489361318499 41.4029089795669,2.07375156330118 41.4032962048041,2.07279244612507 41.4031575028799,2.07219227932076 41.4034641911133,2.07205825759733 41.4040940897068,2.0705021574848 41.4060407686408,2.06999959345669 41.407027770115,2.07031682479426 41.4072299561405,2.07152350080841 41.4071865087004,2.07206187470712 41.4075445890966,2.07135052961516 41.4088066542674,2.07213695044741 41.4109545239907,2.07306095526877 41.4114256529291,2.0734395629785 41.4118607987525,2.07413406522029 41.4118847560364,2.07454097298608 41.4122015429792,2.07554526414255 41.4123910630282,2.07604742789922 41.4127278679183,2.07630438063749 41.413550392076,2.07731038745435 41.4144414730632,2.07733922012865 41.4146277709923,2.07892812370419 41.4149480130207,2.07974666320449 41.4157320449586,2.07971442819453 41.416318412778,2.07936904477085 41.4165242356324,2.07907375571958 41.4175666719515,2.07868620229116 41.4177798645874,2.07861828976327 41.4179859512881,2.07871706825572 41.4188585962739,2.07764993085302 41.4185975169739,2.07755895481133 41.4189395213294,2.07682941640758 41.4196082704768,2.07700222360215 41.4199158646693,2.07707171156135 41.42091830881,2.07538566432949 41.4220189057273,2.07606079909129 41.4223081367362,2.07912726366289 41.4227268304198,2.08007856552906 41.4230812451608,2.08036693694912 41.4239813425989,2.08029864925697 41.4242419787499,2.08058803138965 41.4243773242864,2.07944382166716 41.424488642287,2.0784557782546 41.4248403948261,2.07724020826186 41.425012330077,2.07520990110429 41.4249660954925,2.07439481431698 41.4247714384193,2.07268398226639 41.4250689862475,2.0727854664376 41.4254209748018,2.07255715616455 41.4258360429835,2.07291322436977 41.4261920579072,2.07324578600952 41.4273403912008,2.07299150962385 41.4275232657475,2.07381817610782 41.4279319296506,2.07661718716588 41.4287091561167,2.07554238823927 41.4295143651118,2.07453208788483 41.4298945166203,2.0728526110724 41.4308267270388,2.07223731765805 41.4320398741294,2.07153369326231 41.4329654286509,2.07098217678824 41.4347398898155,2.07177831637124 41.4363158957419,2.07302786503921 41.4366069294336,2.0733402124178 41.4364484664472,2.07247221112226 41.435509293859,2.0731261456639 41.4352180316711)),((2.05897037693992 41.4354193501816,2.05935818512102 41.4353878226403,2.05949863933739 41.4344784099082,2.06002039320164 41.4339552466591,2.06212016511267 41.4333583506912,2.06290781064329 41.4335831684153,2.06309899330273 41.4329483504899,2.06331690188483 41.4329044691207,2.0633106855899 41.4323220067,2.0636622081242 41.4311276314024,2.0645818542892 41.4299148680386,2.06553655123025 41.4299038176026,2.06596880862602 41.43008034055,2.06641247659735 41.4298093707115,2.06779040575975 41.4295442530842,2.06769027599678 41.4287264033772,2.0667810252701 41.4273483275447,2.06708596779024 41.4268147964098,2.06698818348573 41.4262919036988,2.06967405693941 41.4251760809298,2.06939763096849 41.4233540926788,2.06987385523871 41.4227029527903,2.0697953037161 41.4217661065258,2.07017083704339 41.4209773497959,2.07048495362209 41.4188120970035,2.06811475685149 41.4184612591333,2.06724190011767 41.4180823984937,2.06458049300607 41.4180262311728,2.06428744917639 41.4178405622201,2.06498985712334 41.416632235953,2.06490300218326 41.4160929665777,2.06415787838817 41.4142867350396,2.06349607017731 41.4135502332464,2.06204842822589 41.4136646830976,2.06149266583161 41.4129465014952,2.06077824842834 41.4127269321719,2.05829133033803 41.4128228223325,2.05907429396359 41.4122586964441,2.05899606395501 41.4109853487446,2.05876513264129 41.4106464787671,2.0568519520152 41.4103299048506,2.05498904552798 41.412182365468,2.05494239117039 41.4129689123895,2.05464103653232 41.4139489936405,2.05594443115132 41.4151598323102,2.05622553559886 41.4156353927289,2.05689869029017 41.4159986132925,2.05689701727335 41.4168523157641,2.05730075354299 41.4184091269856,2.05686448119831 41.4190954211564,2.05657097206696 41.4202504328051,2.05637742227694 41.4204779853157,2.05646533964135 41.4213576418033,2.05554443992883 41.4222727607005,2.05464377321402 41.4224148773527,2.05447668583431 41.4227023181577,2.05392027801175 41.4228666419555,2.05316131209506 41.4236645353489,2.05251589264151 41.4238165271291,2.05247959948615 41.4241587352801,2.05233338763921 41.4242299136646,2.05325703928041 41.4250074797217,2.05586840739575 41.4254843624382,2.05679008363576 41.4258145503846,2.05766472879427 41.4264198060109,2.05755448175895 41.4271258561922,2.05769052516786 41.4278990690279,2.05844740488365 41.4291847763459,2.05843844438024 41.4308986213702,2.05841670084594 41.4312952891242,2.05759682480312 41.4334454081996,2.05790650999343 41.4338873619668,2.05748999043393 41.4346822943952,2.05772706483137 41.435503982192,2.057669005277 41.4358067624088,2.05897037693992 41.4354193501816)));22
MULTIPOLYGON (((2.11684852482073 41.4135204589429,2.11807484781849 41.4136408467923,2.11874632304893 41.4134758232386,2.11886792444097 41.412653446141,2.11947899720213 41.4124327759588,2.12026712598706 41.4114588540107,2.12095423482847 41.4109912142958,2.12138379394369 41.4103769440599,2.12197763067118 41.4099288642729,2.12188299805534 41.408936914972,2.12231962183019 41.4079452262979,2.12261630106362 41.4077222241439,2.12180140598125 41.407035348829,2.12275585747448 41.4058985107181,2.12354703842635 41.4041685371887,2.12472114726193 41.4031434696731,2.12461886886735 41.4029883449012,2.12478054979261 41.4023540454197,2.12520943501939 41.4020348908768,2.12287511374147 41.4007165837026,2.12611191581754 41.3981460149275,2.12696502129715 41.3978322212693,2.12814163055942 41.3977707226056,2.12602067657695 41.3963522564965,2.12560100772663 41.3957043302755,2.12597135140297 41.3956231583439,2.1298172146057 41.3926411728643,2.12933301386831 41.392382565521,2.1222698312337 41.3906218299576,2.12089864840357 41.3900907199279,2.12055184037422 41.3908041472111,2.12001305483902 41.3912756953744,2.11800651725207 41.3919238955443,2.11756063960292 41.392224209302,2.11818402202662 41.3928772213453,2.11847726415066 41.3937603824583,2.1182941859898 41.3945883311922,2.11780354083135 41.3951293374935,2.11561143726837 41.3958746951104,2.11312565319569 41.3972588105757,2.11107759002347 41.3958929009232,2.11027005317376 41.3958372279637,2.10983712871599 41.3961604392632,2.10962869442861 41.3967274640995,2.10900297427724 41.3974672342029,2.10865123294724 41.3984502555223,2.10777582953368 41.3992026446813,2.1073531247858 41.3993682227825,2.10707172566458 41.399801192964,2.10656275650194 41.4000936534287,2.10539043203853 41.4006012180598,2.10440782836962 41.4008263420587,2.1050705422545 41.4014488184126,2.10527715059038 41.4018749499835,2.10513180225457 41.4021554290894,2.10575213747918 41.4025519689715,2.10589860430555 41.4032230646638,2.10681284932129 41.4032544318166,2.10730815313222 41.4035048282433,2.10744563374126 41.4040208697175,2.10727473757894 41.404533689969,2.10762508347211 41.4048063255222,2.10792699098943 41.4053719755715,2.10884180636921 41.4059417432252,2.10907572063583 41.4067694688794,2.10890267564047 41.4069839277361,2.10857658584984 41.4070361670468,2.1076015821865 41.4065310157528,2.10682209864051 41.4069601194094,2.10617149432039 41.4064338626668,2.10557518177693 41.4064711447034,2.10489493099593 41.4060287754486,2.10458372854121 41.406065665171,2.10427892038868 41.4063124029259,2.10439056604966 41.4071541185336,2.10358660472142 41.407350507264,2.10326790446254 41.4076462426925,2.10319810065916 41.4079980523879,2.10353120424967 41.4084649828276,2.10342480146805 41.4091405236809,2.10392394500979 41.4093897754381,2.10424761460525 41.4098005318073,2.1052929453439 41.4096361548288,2.10564139257562 41.4098444592186,2.10656036237067 41.4095988769721,2.10696710480764 41.4101217110434,2.10578876172421 41.4111278069926,2.10618836085213 41.4114178355558,2.10630343008547 41.4117292884521,2.10647469174849 41.4118134692181,2.10737715444897 41.4114277765402,2.10812758462101 41.4114319659542,2.10825287556378 41.4115128692921,2.10820529738318 41.4124572022845,2.10831677031684 41.4126133728022,2.10904574915198 41.4128539527395,2.10957930230224 41.4123167354036,2.11003124712446 41.4122299685925,2.11036669484319 41.4130721747199,2.11093705312807 41.4135811000757,2.11112408553178 41.4135396607582,2.11143796014965 41.4127880624097,2.1118896759384 41.41244673588,2.11233264310667 41.4123592151631,2.11294602067345 41.4127673538724,2.11396049282486 41.4121461985411,2.11429236862365 41.412224506636,2.11453421353813 41.4129640787692,2.11524818306183 41.4131752657305,2.11596056640447 41.4141197328794,2.11627243259453 41.41408445065,2.11684852482073 41.4135204589429)));23
MULTIPOLYGON (((2.13539131405375 41.3931798712917,2.13579669952222 41.3922261788248,2.13642357623247 41.3915938341069,2.1298172146057 41.3926411728643,2.12597135140297 41.3956231583439,2.12560100772663 41.3957043302755,2.12602067657695 41.3963522564965,2.12814163055942 41.3977707226056,2.12696502129715 41.3978322212693,2.12611191581754 41.3981460149275,2.12287511374147 41.4007165837026,2.13000302063103 41.4047092383267,2.13415617427311 41.3993412157425,2.13291327701989 41.3978973062236,2.13281145198663 41.3972296337341,2.13410960335947 41.3955826474094,2.13435406726404 41.3954863881444,2.13539131405375 41.3931798712917)));24
MULTIPOLYGON (((2.12895159612633 41.4197844369377,2.12950270438848 41.419436926751,2.13008649032047 41.4196472527236,2.13005905293334 41.4191118226161,2.13054544225399 41.4182848368688,2.13124467242983 41.418235325818,2.13227788876175 41.4185780743279,2.13417907114829 41.4177970938307,2.13631480351549 41.4159878518964,2.13606257845463 41.4155888256851,2.13615171133105 41.4152233256207,2.13702496936721 41.4144586857768,2.13772304257968 41.4141098545927,2.13827006178384 41.4115462769907,2.13826191487668 41.4111514548465,2.13803512822756 41.4107390516294,2.13712669357259 41.4102477125203,2.13733248754058 41.4098072053621,2.13719398340239 41.4096065793296,2.13935305505113 41.405468090804,2.13973731816654 41.4050230048843,2.14073490298951 41.4044183024693,2.13952020962049 41.4038860611838,2.13803291646766 41.4029009319252,2.13415617427311 41.3993412157425,2.13000302063103 41.4047092383267,2.12520943501939 41.4020348908768,2.12479942349954 41.4023336825737,2.12461886886735 41.4029883449012,2.12472114726193 41.4031434696731,2.12354703842635 41.4041685371887,2.12275585747448 41.4058985107181,2.12180140598125 41.407035348829,2.12261630106362 41.4077222241439,2.12231962183019 41.4079452262979,2.12188299805534 41.408936914972,2.12197763067118 41.4099288642729,2.12138379394369 41.4103769440599,2.12095423482847 41.4109912142958,2.12026712598706 41.4114588540107,2.11947899720213 41.4124327759588,2.11962423910066 41.4130789654441,2.11886226974778 41.4145309527468,2.11882939591476 41.4147788292823,2.11898179922933 41.414887338263,2.12026873702053 41.4149551580554,2.12002815429454 41.415625580393,2.1200707591495 41.4160683342694,2.12087037957619 41.4159515315425,2.12156364957704 41.4169293975143,2.12174274897254 41.4167762330376,2.12176721377327 41.4162943229911,2.12221050185484 41.4160577474857,2.12243301873036 41.4150815959227,2.12321069007134 41.4153340231414,2.12341132362851 41.4149091030952,2.12325621693239 41.4139060940471,2.12407115881353 41.4136083358416,2.12552425963616 41.4140065212414,2.12512741810636 41.4149488276684,2.1255756690526 41.4156627794532,2.1262724992306 41.4159693548641,2.12667661023767 41.4167261226578,2.12833435620951 41.416608256664,2.1289255336696 41.4173166468035,2.13124738391405 41.4163302916158,2.13133134815445 41.4164494574054,2.12892849690192 41.4174216592001,2.12790961450686 41.4182881702512,2.12816680142895 41.4187634429866,2.12745274780275 41.4193754551694,2.12872334723798 41.4199277285054,2.12895159612633 41.4197844369377)));25
MULTIPOLYGON (((2.14721699551209 41.4014117603403,2.14758274034353 41.4011639004586,2.14960891863029 41.4010852610941,2.15122578655029 41.4004919872098,2.15493116992481 41.3967771729536,2.1557107158497 41.3955709385642,2.14497835411813 41.3928550115965,2.14493945680661 41.3925536830593,2.14465695916305 41.3923815038482,2.14405439620761 41.3925745897198,2.13876745512398 41.3912383708835,2.13642357623247 41.3915938341069,2.13607888250353 41.3919228880434,2.13579669952222 41.3922261788248,2.13435406726404 41.3954863881444,2.13410960335947 41.3955826474094,2.13282752520799 41.3971723501788,2.13281263022595 41.3976935370391,2.13298791979115 41.3980019321653,2.13499894071462 41.400168064194,2.1383900576074 41.4031699940991,2.13952020962049 41.4038860611838,2.14073490298951 41.4044183024693,2.14215710152287 41.403875558774,2.14328200973033 41.4031860951647,2.14495791612218 41.4026568881777,2.14721699551209 41.4014117603403)));26
MULTIPOLYGON (((2.14837647495098 41.4069889740414,2.14849719464127 41.4068917130946,2.14838482877312 41.4068120218971,2.1489136178784 41.4065488811046,2.14879135203643 41.4067261075228,2.14902690904846 41.4068903205272,2.15006736770636 41.4059949417065,2.14997107003743 41.4055093578483,2.15037355270867 41.4043673001472,2.15002817635848 41.4037805421336,2.14992318714612 41.403207557324,2.1511552763451 41.4014922255212,2.15122578655029 41.4004919872098,2.14960891863029 41.4010852610941,2.14758274034353 41.4011639004586,2.14500535127067 41.4026340284086,2.14322199169915 41.4032114096357,2.13963249966773 41.4051149080201,2.13719398340239 41.4096065793296,2.13733248754058 41.4098072053621,2.13712669357259 41.4102477125203,2.13790451040812 41.4106149229089,2.1382851180659 41.4112480805649,2.13772304257968 41.4141098545927,2.14081830488387 41.4117709033223,2.14477494938663 41.4113412181368,2.14526323308272 41.4111322686955,2.14766788122295 41.4080014767446,2.14865895005584 41.4071883192286,2.14837647495098 41.4069889740414)));27
MULTIPOLYGON (((2.13628510979088 41.4236271063244,2.13758982859831 41.4233206428114,2.13807986044814 41.4228245460228,2.13843989548086 41.4217674806115,2.13769715293643 41.4212335930875,2.1378805991391 41.4208905185556,2.14004011650615 41.4202324056822,2.14045548840798 41.4210980632292,2.14199494952437 41.4215477490556,2.14389753739913 41.4201402342353,2.14439626421097 41.4199278078009,2.14449863391964 41.4196007518266,2.14406843933312 41.4185564525204,2.14404242955896 41.4175107816524,2.14508966394403 41.416615884117,2.14599774381061 41.4168901291041,2.14698713760508 41.4163515765299,2.1467037573169 41.4156644938421,2.14482595236232 41.4146082980516,2.14470467623544 41.4142156079959,2.14478913131464 41.4134335269706,2.14712491829338 41.414732137864,2.14806689792277 41.4154670999923,2.14832729422425 41.4160396325083,2.14883388254227 41.4156763094685,2.14990849111295 41.4158155113858,2.15093161841967 41.4156742723774,2.15102486231768 41.4157839957985,2.15037545191757 41.4162297730302,2.15114150385782 41.4159163653925,2.15109481374896 41.4154035684031,2.15020562108824 41.4152365090352,2.14961303473899 41.4148989444719,2.14986024585098 41.4137517074091,2.14963547544304 41.4130132717423,2.14908846748562 41.4128928716714,2.15019607306624 41.4117002520843,2.14801295194925 41.4105713417238,2.1506814363621 41.4079504700973,2.14994980810351 41.4073552044382,2.14991172941354 41.4069900213149,2.14945010634655 41.4065533275972,2.14902690904846 41.4068903205272,2.14879135203643 41.4067261075228,2.1489136178784 41.4065488811046,2.14838482877312 41.4068120218971,2.14849719464127 41.4068917130946,2.14837647495098 41.4069889740414,2.14865895005584 41.4071883192286,2.14766788122295 41.4080014767446,2.14526323308272 41.4111322686955,2.14477494938663 41.4113412181368,2.14081830488387 41.4117709033223,2.13615171133105 41.4152233256207,2.13606257845463 41.4155888256851,2.13631480351549 41.4159878518964,2.13432148386581 41.4177075685357,2.13227788876175 41.4185780743279,2.13124467242983 41.418235325818,2.13054544225399 41.4182848368688,2.13005905293334 41.4191118226161,2.13012881385085 41.4196052377285,2.12959619579816 41.4194343914263,2.12931723218188 41.4195203526938,2.12966849525454 41.4195863301915,2.13007035077303 41.4200759789175,2.13058333114784 41.4199162904173,2.13100602195926 41.4193930705839,2.13213875085076 41.4198449855846,2.13217153914306 41.4200535031573,2.13128175102115 41.4210829686125,2.13135345457732 41.4213839444078,2.13279811273423 41.4215301673487,2.13321586534785 41.4218310422816,2.13437202719371 41.4218996917999,2.13469636541764 41.421869443692,2.13524883687891 41.4214347305343,2.13509586501948 41.4219435120251,2.13421257669475 41.4227234389094,2.13456711999487 41.4235113755587,2.134783497881 41.4235762893664,2.13534287970912 41.4242473520242,2.13504757547092 41.4247036020409,2.13510580570601 41.4248796759459,2.13597969900648 41.4245449234164,2.13628510979088 41.4236271063244)));28
MULTIPOLYGON (((2.15188362628405 41.4170030940608,2.15206212777783 41.4167972562361,2.15200622332653 41.4166006437003,2.15028945913111 41.4162458738144,2.15098905313176 41.4158911725452,2.15093161841967 41.4156742723774,2.14990849111295 41.4158155113858,2.14883388254227 41.4156763094685,2.14832729422425 41.4160396325083,2.14806689792277 41.4154670999923,2.14712491829338 41.414732137864,2.14484462164052 41.4134084357048,2.14470467623544 41.4142156079959,2.14482595236232 41.4146082980516,2.1467037573169 41.4156644938421,2.14698713760508 41.4163515765299,2.14599774381061 41.4168901291041,2.14508966394403 41.416615884117,2.14404242955896 41.4175107816524,2.14406843933312 41.4185564525204,2.14450520576784 41.41966349257,2.14434340694863 41.4199835131074,2.14389753739913 41.4201402342353,2.14514317895422 41.4208930321302,2.14697642246152 41.4212644784647,2.14780195264703 41.4215922534469,2.14947476651413 41.4216410388074,2.14948842465571 41.420605765543,2.14927170580586 41.4203712079358,2.1517738645641 41.4201427554976,2.15151658551018 41.4189353698466,2.15101932197668 41.4182681103872,2.15088128288116 41.4177552672062,2.15188362628405 41.4170030940608)));29
MULTIPOLYGON (((2.15510639356253 41.4149441551027,2.155994703729 41.4151893008789,2.15662823313593 41.415615928337,2.15721192312502 41.4165126289445,2.15749283326687 41.4165534184777,2.15834895392662 41.4152286158058,2.15919323096703 41.4144474104835,2.16027718523923 41.4139271292532,2.16105634545247 41.4141757007217,2.16138162002917 41.4139360676341,2.1614222015069 41.413757477834,2.16123580405841 41.413568184576,2.16202070192224 41.4126716773185,2.15421614334244 41.4085609569109,2.15374729352316 41.4090468673073,2.15076865850267 41.4078713644676,2.14801295194925 41.4105713417238,2.15019607306624 41.4117002520843,2.14908846748562 41.4128928716714,2.14963547544304 41.4130132717423,2.14986024585098 41.4137517074091,2.14961303473899 41.4148989444719,2.15020562108824 41.4152365090352,2.15109481374896 41.4154035684031,2.15114150385782 41.4159163653925,2.15028945913111 41.4162458738144,2.15038764509314 41.4163417897747,2.15197674953504 41.4165888248455,2.15206954018414 41.4167598497418,2.15192424755954 41.4169049149486,2.15272001523497 41.4168092307307,2.15510639356253 41.4149441551027)));30
MULTIPOLYGON (((2.15997386481916 41.4087333872532,2.16349811326771 41.4049183296531,2.16162160559374 41.4037312396417,2.16524823054272 41.4009815663171,2.15922647403777 41.3964605573954,2.1557107158497 41.3955709385642,2.15493116992481 41.3967771729536,2.15122578655029 41.4004919872098,2.1511552763451 41.4014922255212,2.14992318714612 41.403207557324,2.15002817635848 41.4037805421336,2.15037355270867 41.4043673001472,2.14997107003743 41.4055093578483,2.15006736770636 41.4059949417065,2.14945010634655 41.4065533275972,2.14991172941354 41.4069900213149,2.14994980810351 41.4073552044382,2.1506814363621 41.4079504700973,2.15076865850267 41.4078713644676,2.15374729352316 41.4090468673073,2.15421614334244 41.4085609569109,2.15810844269755 41.4105829570609,2.15997386481916 41.4087333872532)));31
MULTIPOLYGON (((2.16866499310469 41.4018382046185,2.16735348814306 41.4008553411739,2.16621815438618 41.4017096773398,2.16524823054272 41.4009815663171,2.16162160559374 41.4037312396417,2.16349811326771 41.4049183296531,2.15819922634684 41.4105944753336,2.16202070192224 41.4126716773185,2.163942869166 41.4105117919509,2.1720429368886 41.4043694834745,2.16866499310469 41.4018382046185)));32
MULTIPOLYGON (((2.16997074792434 41.407912865854,2.16865930583113 41.4069289799092,2.16369002464481 41.4107239448491,2.16123580405841 41.413568184576,2.16336839966055 41.4144379804297,2.16629252539937 41.4149527352238,2.16797701492009 41.4157367342523,2.16932705823696 41.4156430118408,2.16934915844566 41.4151368436634,2.16956847232563 41.4148055468951,2.17432893294721 41.4111821963606,2.16997074792434 41.407912865854)));33
