PERIODO,CODIBARRIO,NOMBARRIO,NOMDISTR,INDICE,PuntosWKT_Y,PuntosWKT_X
0:00:00,"58", Baro de Viver,Sant Andreu,"0.158","41.4458146734734","2.19899775842407"
0:00:00,"59", el Bon Pastor,Sant Andreu,"0.286","41.4369665958188","2.20188219981613"
0:00:00,"60", Sant Andreu,Sant Andreu,"0.453","41.4369384203085","2.19023293305931"
0:00:00,"61", la Sagrera,Sant Andreu,"0.397","41.4232637623357","2.1902413234256"
0:00:00,"62", el Congros i els Indians,Sant Andreu,"0.343","41.4245788563833","2.18083578439351"
0:00:00,"63", Navas,Sant Andreu,"0.356","41.4180003577193","2.18594837935315"
0:00:00,"64", el Camp de l'Arpa del Clot,Sant Marti,"0.465","41.4120106163224","2.18246118553866"
0:00:00,"65", el Clot,Sant Marti,"0.397","41.4098058884566","2.1900203406345"
0:00:00,"66", el Parc i la Llacuna del Poblenou,Sant Marti,"0.399","41.3986132201153","2.19024971446293"
0:00:00,"67", la Vila Olompica del Poblenou,Sant Marti,"0.397","41.3907323471478","2.19662939645206"
0:00:00,"68", el Poblenou,Sant Marti,"0.466","41.399986587118","2.20239448322456"
0:00:00,"69", Diagonal Mar i el Front Marotim del Poblenou,Sant Marti,"0.427","41.4052762672387","2.21294616022098"
0:00:00,"70", el Besos i el Maresme,Sant Marti,"0.334","41.4133188219144","2.21678731560961"
0:00:00,"71", Proven̤als del Poblenou,Sant Marti,"0.367","41.4111231757404","2.20262965976763"
0:00:00,"72", Sant Marto de Proven̤als,Sant Marti,"0.328","41.416861886072","2.19800644265532"
0:00:00,"73", la Verneda i la Pau,Sant Marti,"0.313","41.423947239365","2.20306084427352"
0:00:05,"01", el Raval,Ciutat Vella,"0.566","41.3789990529318","2.1704374301403"
0:00:05,"02", el Barri Gotic,Ciutat Vella,"0.408","41.3812920314947","2.17731171224648"
0:00:05,"03", la Barceloneta,Ciutat Vella,"0.555","41.3776836321953","2.19014838037792"
0:00:05,"04"," Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,"0.488","41.3867946958746","2.18343061900418"
0:00:05,"05", el Fort Pienc,Eixample,"0.467","41.3974058980167","2.18149891742019"
0:00:05,"06", la Sagrada Familia,Eixample,"0.572","41.4054528878517","2.17653513544672"
0:00:05,"07", la Dreta de l'Eixample,Eixample,"0.546","41.3938922951844","2.16820398722205"
0:00:05,"08", l'Antiga Esquerra de l'Eixample,Eixample,"0.566","41.3893472032418","2.15517267551246"
0:00:05,"09", la Nova Esquerra de l'Eixample,Eixample,"0.585","41.3830594806701","2.14896939079111"
0:00:05,"10", Sant Antoni,Eixample,"0.470","41.3785125706462","2.15934148785388"
0:00:05,"11", el Poble Sec ,Sants,"0.493","41.3653891164093","2.15821109526862"
0:00:05,"12", la Marina del Prat Vermell ,Sants,"0.218","41.3390818281692","2.14184739047185"
0:00:05,"13", la Marina de Port,Sants,"0.314","41.3600107668284","2.13982724785569"
0:00:05,"14", la Font de la Guatlla,Sants,"0.350","41.3697769984722","2.14491694830793"
0:00:05,"15", Hostafrancs,Sants,"0.393","41.3753052023228","2.14425513389781"
0:00:05,"16", la Bordeta,Sants,"0.353","41.369065870882","2.1364344900878"
0:00:05,"17", Sants - Badal,Sants,"0.419","41.3746485715686","2.1277223117369"
0:00:05,"18", Sants,Sants,"0.485","41.3774647611155","2.13634931459741"
0:00:05,"19", les Corts,Les Corts,"0.482","41.3869244001576","2.13468743257302"
0:00:05,"20", la Maternitat i Sant Ramon,Les Corts,"0.392","41.3811936283941","2.11739942179955"
0:00:05,"21", Pedralbes,Les Corts,"0.475","41.3910419595321","2.11018956563203"
0:00:05,"22"," Vallvidrera, el Tibidabo i les Planes",Sarria - Sant Gervasi,"0.212","41.4194976655784","2.08945257339748"
0:00:05,"23", Sarria,Sarria - Sant Gervasi,"0.490","41.4026541255195","2.11618796312143"
0:00:05,"24", les Tres Torres,Sarria - Sant Gervasi,"0.465","41.3980115958457","2.12984343550713"
0:00:05,"25", Sant Gervasi - la Bonanova,Sarria - Sant Gervasi,"0.427","41.4098012952185","2.13018254600173"
0:00:05,"26", Sant Gervasi - Galvany,Sarria - Sant Gervasi,"0.535","41.3974516178842","2.14301041235886"
0:00:05,"27", el Putxet i el Farro,Sarria - Sant Gervasi,"0.471","41.4068983900857","2.1439149715259"
0:00:05,"28", Vallcarca i els Penitents,Gracia,"0.385","41.4163261892588","2.14107750336224"
0:00:05,"29", el Coll,Gracia,"0.329","41.4182335806861","2.14773639508103"
0:00:05,"30", la Salut,Gracia,"0.367","41.4124313551575","2.15435579819859"
0:00:05,"31", la Vila de Gracia,Gracia,"0.682","41.4031118332255","2.15688100120319"
0:00:05,"32", el Camp d'en Grassot i Gracia Nova,Gracia,"0.464","41.4063032741941","2.16501295370047"
