;;;;2014,357143;2014,357143;2014,357143;2014,357143;2015,309524;2015,119048;2014,928571;2014,738095;2016,452381;2016,261905;2016,071429;2015,880952;2017;2017;2017;2017;2018;2018;2018;2018
CODIDISTR;NOMDISTR;CODIBARRIO;NOMBARRIO;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim
5;Sarria - Sant Gervasi;25; Sant Gervasi - la Bonanova;927,63;920,62;963,57;948,26;954;1056,1;1073;1076,8;1116,5;1096,7;1083,5;1197,7;1182,12;1236,21;1324,4;1198,24;1247,7;1288,82;1322,61;1283,24
5;Sarria - Sant Gervasi;26; Sant Gervasi - Galvany;1053,7;1006,56;1078,84;1047,5;1088,7;1095,7;1262;1153,9;1187,6;1189,1;1278,7;1299;1268,61;1287,23;1377,82;1315,8;1310,42;1328,14;1374,32;1374,82
5;Sarria - Sant Gervasi;27; el Putxet i el Farro;750,84;761,35;766,33;761,7;758,4;790,2;840;808,4;827,8;891,6;876,8;904,2;913,45;902,42;962,41;938,2;946,65;972,89;1021,27;1031,54
6;Gracia;28; Vallcarca i els Penitents;679,66;648,32;642,66;691,94;777,2;712,8;713;745,3;741,4;755,9;830,2;818,7;946,59;917,84;912,51;875,53;886,27;939,03;905,82;971,51
6;Gracia;29; el Coll;583,93;551,4;537,15;552,75;576,4;539,6;576;542,7;590,5;592,8;635,1;653,7;687,42;701,29;799,44;711,57;741,23;716,25;756,36;748,9
6;Gracia;30; la Salut;634,48;702,33;684,28;655,87;673,2;637,8;743;751,7;684,5;773;855,9;784,9;841,38;855,7;804,26;741,29;815,62;883,52;870,31;930,09
6;Gracia;31; la Vila de Gracia;679,8;673,79;691,69;681,25;707,2;726,6;742;749,2;764;773,7;827,8;829,2;837,09;852,57;867,94;879,85;899,65;913,34;923,39;927,06
6;Gracia;32; el Camp d'en Grassot i Gracia Nova;671;665,44;711,14;681,26;701,7;712,6;752;735,8;802,7;780,4;805,9;823,7;839,29;872,41;880;862,51;884,55;885,4;924,81;945,81
7;Horta-Guinardo;33; el Baix Guinardo;622,63;610,87;613,17;638,55;653,2;631;636;649,1;696,7;642,9;718,5;747,3;743,88;756,13;804,26;773,02;832,63;817,38;839,47;827,04
7;Horta-Guinardo;34; Can Baro;568,94;525,04;536,04;545,11;521,1;539,6;586;550,5;595,9;632;645,7;658,7;637,3;710,18;698,03;693,65;721,46;737,38;766,82;727,05
7;Horta-Guinardo;35; el Guinardo;586,5;564,1;585,39;590,31;601,1;596,1;620;631;646,8;634,8;679,4;705,7;722,67;722,28;739,68;759,06;736,8;758,61;797,84;796,35
7;Horta-Guinardo;36; la Font d'en Fargues;585,45;772,41;703,15;784,44;733,8;749,2;611;775,3;749,8;689,7;675,7;761,3;812,93;721,47;922,75;822,82;824,12;756,72;876,58;840,52
7;Horta-Guinardo;37; el Carmel;478,7;495,01;498,79;506,26;485,7;504,6;528;528,8;518,2;550,3;557,6;597,1;597,09;597,58;610,13;609,11;634,75;637,17;654,77;653,21
