ID;CODIDISTR;NOMDISTR;CODIBARRIO;NOMBARRIO;1_2014;2_2014;3_2014;4_2014;1_2015;2_2015;3_2015;4_2015;1_2016;2_2016;3_2016;4_2016;1_2017;2_2017;3_2017;4_2017;1_2018;2_2018;3_2018;2014_8
56;8;Nou Barris;56; Vallbona;5;19;22;10;15;33;14;15;37;26;38;28;38;54;9;44;32;0;32;10
57;9;Sant Andreu;57; la Trinitat Vella;323;254;313;234;202;315;273;307;254;335;267;303;220;265;221;326;589;357;241;274
58;9;Sant Andreu;58; Baro de Viver;23;71;9;13;42;42;26;20;29;9;31;10;27;17;10;11;42;25;42;54
59;9;Sant Andreu;59; el Bon Pastor;296;268;340;341;297;368;348;462;503;326;296;231;378;507;311;242;391;441;386;370
60;9;Sant Andreu;60; Sant Andreu;2330;2213;2376;2094;1831;2156;2278;2512;2617;2270;2533;2590;2782;3120;2885;3383;3315;3865;3822;3917
61;9;Sant Andreu;61; la Sagrera;1392;1266;1465;1297;1099;1531;1303;1469;1267;1218;1663;1410;1391;1723;1803;2057;1639;2183;2188;2310
62;9;Sant Andreu;62; el Congros i els Indians;631;485;736;661;490;539;507;625;597;634;599;540;937;851;862;992;988;1047;1063;1106
63;9;Sant Andreu;63; Navas;884;762;1094;1003;1083;1022;993;1069;972;802;1070;1191;1174;1490;1609;1798;1633;1662;1507;1919
64;10;Sant Marti;64; el Camp de l'Arpa del Clot;2318;2369;2513;2533;2042;2515;2596;3197;2391;2309;2639;3089;2921;3493;3327;3762;3689;4297;4059;4321
65;10;Sant Marti;65; el Clot;1266;1288;1281;1459;1053;1473;1261;1576;1206;1361;1471;1746;1723;1905;1987;2481;2348;2415;2004;2209
66;10;Sant Marti;66; el Parc i la Llacuna del Poblenou;760;780;866;575;530;915;747;771;658;953;1065;1147;1257;1183;1236;1269;1262;2012;1282;1246
67;10;Sant Marti;67; la Vila Olompica del Poblenou;400;579;406;417;322;618;682;472;619;800;696;933;662;922;1040;1328;1033;1070;930;1048
68;10;Sant Marti;68; el Poblenou;1892;1976;1881;1981;1588;2101;1962;2453;1719;2127;1955;2050;2362;2673;2491;3012;2960;3167;2801;3427
69;10;Sant Marti;69; Diagonal Mar i el Front Marotim del Poblenou;778;505;452;128;422;409;396;1141;660;888;676;1064;1228;1284;1014;1251;1238;1187;2196;1467
70;10;Sant Marti;70; el Besos i el Maresme;671;668;703;615;537;516;610;558;527;437;536;668;597;828;929;1129;1138;1031;1179;1098
71;10;Sant Marti;71; Proven̤als del Poblenou;795;702;615;663;659;736;797;735;799;1055;982;1485;1484;1355;1288;1435;1737;1316;1605;1325
72;10;Sant Marti;72; Sant Marto de Proven̤als;691;853;776;783;822;727;832;808;1001;837;881;944;1053;1321;1163;1255;1341;1455;1265;1271
73;10;Sant Marti;73; la Verneda i la Pau;556;728;713;576;585;602;826;894;692;623;771;602;752;1028;970;929;845;1032;1101;1216
