"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,69.91,69.87,70.67,70.02,69.91,69.89,70.17,70.13
1,"1. el Raval",59.67,58.72,59.58,59.76,59.67,57.81,59.01,59.22
1,"2. el Barri Gòtic",73.18,75.96,81.11,77.54,73.18,78.59,77.66,77.63
1,"3. la Barceloneta",39.35,39.61,41.21,39.97,39.35,39.83,40.14,40.10
1,"4. Sant Pere, Santa Caterina i la Ribera",66.59,65.77,65.05,67.72,66.59,64.99,65.52,66.14
2,"5. el Fort Pienc",73.67,74.32,74.06,73.44,73.67,74.89,74.23,74.00
2,"6. la Sagrada Família",69.71,68.80,68.14,69.90,69.71,68.02,68.55,68.93
2,"7. la Dreta de l'Eixample",99.55,98.11,96.78,99.04,99.55,96.81,97.64,98.05
2,"8. l'Antiga Esquerra de l'Eixample",82.54,83.25,85.18,83.63,82.54,83.84,84.06,83.94
2,"9. la Nova Esquerra de l'Eixample",76.13,75.00,72.88,73.04,76.13,73.96,74.19,73.84
2,"10. Sant Antoni",76.74,74.90,75.39,72.77,76.74,73.52,75.09,74.40
3,"11. el Poble Sec - AEI Parc Montjuïc",58.88,58.28,59.57,57.38,58.88,57.77,58.76,58.37
3,"12. la Marina del Prat Vermell - AEI Zona Franca",70.00,70.00,90.00,120.00,70.00,"-",80.00,93.33
3,"13. la Marina de Port",72.49,70.54,69.11,69.78,72.49,68.93,70.07,69.98
3,"14. la Font de la Guatlla",66.93,67.50,64.80,65.61,66.93,68.13,66.32,66.14
3,"15. Hostafrancs",58.82,61.63,62.12,63.06,58.82,64.39,61.81,62.18
3,"16. la Bordeta",70.85,69.79,69.42,67.80,70.85,68.64,69.65,69.14
3,"17. Sants - Badal",57.73,59.49,62.65,61.63,57.73,61.14,60.58,60.86
3,"18. Sants",61.69,63.88,64.63,64.47,61.69,65.95,64.18,64.26
4,"19. les Corts",73.46,73.03,72.25,74.53,73.46,72.59,72.72,73.20
4,"20. la Maternitat i Sant Ramon",71.67,70.40,73.70,75.97,71.67,69.39,71.75,72.97
4,"21. Pedralbes",121.95,112.64,121.47,115.51,121.95,105.76,116.21,116.06
5,"22. Vallvidrera, el Tibidabo i les Planes",96.57,81.80,78.83,79.87,96.57,68.88,80.95,80.67
5,"23. Sarrià",81.22,82.30,79.95,85.84,81.22,83.27,81.40,82.57
5,"24. les Tres Torres",102.48,106.35,117.45,95.41,102.48,109.79,110.83,106.53
5,"25. Sant Gervasi - la Bonanova",84.70,86.58,91.95,82.52,84.70,88.13,88.62,86.98
5,"26. Sant Gervasi - Galvany",99.86,97.70,100.07,98.64,99.86,95.40,98.53,98.56
5,"27. el Putxet i el Farró",69.71,70.24,70.38,68.10,69.71,70.81,70.29,69.63
6,"28. Vallcarca i els Penitents",70.86,69.20,69.38,67.56,70.86,67.48,69.26,68.76
6,"29. el Coll",60.43,61.95,61.62,64.51,60.43,63.32,61.82,62.56
6,"30. la Salut",75.06,74.69,64.76,64.96,75.06,74.30,71.07,68.89
6,"31. la Vila de Gràcia",63.76,63.68,62.68,63.47,63.76,63.61,63.31,63.36
6,"32. el Camp d'en Grassot i Gràcia Nova",68.75,68.11,66.33,68.02,68.75,67.57,67.46,67.64
7,"33. el Baix Guinardó",63.89,64.87,63.95,66.24,63.89,65.86,64.53,64.98
7,"34. Can Baró",57.84,59.52,61.25,58.83,57.84,60.97,60.16,59.77
7,"35. el Guinardó",62.52,63.62,62.39,64.38,62.52,64.48,63.21,63.55
7,"36. la Font d'en Fargues",64.75,64.64,68.82,69.74,64.75,64.52,66.05,67.21
7,"37. el Carmel",55.21,57.30,58.12,57.12,55.21,59.24,57.56,57.44
7,"38. la Teixonera",63.41,62.46,61.34,58.15,63.41,61.58,62.10,61.05
7,"39. Sant Genís dels Agudells",71.19,72.44,72.88,69.94,71.19,73.51,72.60,72.06
7,"40. Montbau",63.04,66.15,64.11,62.70,63.04,68.37,65.44,64.66
7,"41. la Vall d'Hebron",75.26,76.10,69.96,72.00,75.26,77.70,73.38,72.95
7,"42. la Clota","nd",35.00,64.00,44.33,"nd",35.00,54.33,49.33
7,"43. Horta",62.40,64.05,66.07,61.93,62.40,65.90,64.87,64.08
8,"44. Vilapicina i la Torre Llobeta",65.07,64.86,68.90,65.78,65.07,64.60,66.18,66.06
8,"45. Porta",64.80,62.72,62.15,64.90,64.80,61.29,62.52,63.15
8,"46. el Turó de la Peira",59.02,59.32,61.24,59.95,59.02,59.61,60.01,59.99
8,"47. Can Peguera",52.00,47.25,52.00,50.00,52.00,45.67,48.20,48.71
8,"48. la Guineueta",68.89,69.76,64.94,70.65,68.89,70.62,68.21,68.98
8,"49. Canyelles",85.92,82.83,80.09,74.17,85.92,78.80,81.94,79.91
8,"50. les Roquetes",57.17,54.85,58.26,55.51,57.17,53.14,55.98,55.86
8,"51. Verdun",55.35,56.59,57.80,54.00,55.35,57.42,57.01,56.15
8,"52. la Prosperitat",57.04,58.10,60.09,58.59,57.04,59.03,58.82,58.75
8,"53. la Trinitat Nova",55.09,53.81,52.69,52.78,55.09,52.87,53.38,53.20
8,"54. Torre Baró",58.56,62.18,68.00,69.50,58.56,78.50,64.00,66.36
8,"55. Ciutat Meridiana",59.00,58.97,57.48,58.79,59.00,58.93,58.43,58.53
8,"56. Vallbona",88.33,82.00,89.00,78.80,88.33,78.83,82.70,81.40
9,"57. la Trinitat Vella",58.00,60.00,56.65,54.91,58.00,61.49,58.96,57.85
9,"58. Baró de Viver",69.25,69.00,73.50,86.00,69.25,68.67,70.00,72.91
9,"59. el Bon Pastor",68.00,66.51,68.14,68.91,68.00,65.31,66.95,67.35
9,"60. Sant Andreu",62.84,64.05,64.91,64.07,62.84,65.20,64.35,64.27
9,"61. la Sagrera",58.70,61.27,63.59,64.42,58.70,63.68,62.09,62.70
9,"62. el Congrés i els Indians",67.15,67.35,66.29,68.51,67.15,67.58,67.00,67.41
9,"63. Navas",70.71,70.16,72.64,71.99,70.71,69.71,71.09,71.33
10,"64. el Camp de l'Arpa del Clot",63.43,63.00,65.15,63.27,63.43,62.63,63.77,63.63
10,"65. el Clot",67.70,65.96,65.20,67.16,67.70,64.44,65.68,66.12
10,"66. el Parc i la Llacuna del Poblenou",71.94,70.04,65.20,72.19,71.94,67.89,68.43,69.38
10,"67. la Vila Olímpica del Poblenou",81.66,81.81,81.81,86.51,81.66,81.94,81.81,83.32
10,"68. el Poblenou",67.77,65.93,67.73,67.21,67.77,64.20,66.54,66.73
10,"69. Diagonal Mar i el Front Marítim del Poblenou",84.15,99.23,97.06,80.85,84.15,111.33,98.61,94.37
10,"70. el Besòs i el Maresme",62.16,62.30,63.28,61.66,62.16,62.40,62.68,62.36
10,"71. Provençals del Poblenou",69.39,70.14,75.40,71.67,69.39,70.77,72.20,72.05
10,"72. Sant Martí de Provençals",71.89,71.06,72.76,74.36,71.89,70.37,71.61,72.33
10,"73. la Verneda i la Pau",69.38,69.90,70.50,69.36,69.38,70.27,70.10,69.92
